Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
3052033562,2024-05-28 00:04:40,2024-05-17 12:43:00,Sarasota,Florida,941,Other,Y
6614619555,2024-05-28 00:04:43,2024-05-27 04:33:00,,California,661,Other,
7277586176,2024-05-28 00:05:26,2024-05-17 14:48:00,Sarasota,Florida,941,Other,Y
2392513479,2024-05-28 00:06:05,2024-05-17 16:08:00,Sarasota,Florida,941,Other,Y
2392513479,2024-05-28 00:06:47,2024-05-17 16:08:00,Sarasota,Florida,941,Other,Y
8592676676,2024-05-28 00:07:30,2024-05-27 15:27:00,,Washington,206,No Subject Provided,N
3057609406,2024-05-28 00:07:34,2024-05-18 15:12:00,Sarasota,Florida,941,Other,Y
5612271876,2024-05-28 00:08:14,2024-05-20 17:08:00,Sarasota,Florida,941,Other,Y
7277720513,2024-05-28 00:09:03,2024-05-21 09:50:00,Sarasota,Florida,941,Other,Y
9045151647,2024-05-28 00:09:39,2024-05-21 11:55:00,Sarasota,Florida,941,Other,Y
9417274314,2024-05-28 00:10:27,2024-05-21 13:21:00,Sarasota,Florida,941,Other,Y
4078876474,2024-05-28 00:11:09,2024-05-22 08:32:00,Sarasota,Florida,941,Other,Y
7542038477,2024-05-28 00:12:01,2024-05-22 13:40:00,Sarasota,Florida,941,Other,Y
7016775162,2024-05-28 00:12:41,2024-05-22 14:10:00,Sarasota,Florida,941,Other,Y
6122305481,2024-05-28 00:13:21,2024-05-27 15:17:00,Plymouth,Minnesota,612,Medical  & prescriptions,Y
9412931512,2024-05-28 00:13:26,2024-05-23 08:38:00,Sarasota,Florida,941,Other,Y
8632560398,2024-05-28 00:14:08,2024-05-23 11:54:00,Sarasota,Florida,941,Other,Y
9418942409,2024-05-28 00:15:27,2024-05-24 09:32:00,Sarasota,Florida,941,Other,Y
9413780451,2024-05-28 00:16:54,2024-05-24 09:46:00,Sarasota,Florida,941,Other,Y
5612008648,2024-05-28 00:17:37,2024-05-24 15:42:00,Sarasota,Florida,941,Other,Y
7724481377,2024-05-28 00:18:42,2024-05-27 11:42:00,Sarasota,Florida,941,Other,Y
3239097922,2024-05-28 00:34:01,2024-05-24 09:34:00,,California,323,Other,Y
9169134033,2024-05-28 00:34:21,2024-05-27 10:28:00,Citrus Heights,California,916,Home improvement  & cleaning,Y
3238484540,2024-05-28 00:35:23,2024-05-22 09:33:00,,California,323,Other,Y
4242728570,2024-05-28 00:36:24,2024-05-20 13:07:00,,California,323,Other,Y
9169382167,2024-05-28 00:38:01,2024-05-22 16:34:00,Citrus Heights,California,916,Home improvement  & cleaning,Y
8885434744,2024-05-28 00:40:36,2024-05-27 12:00:00,Redmond,Washington,425,Other,Y
3155127759,2024-05-28 00:42:52,2024-05-28 00:31:00,,Ohio,937,Other,N
6573065573,2024-05-28 00:47:35,2024-05-20 09:15:00,,California,323,Other,Y
6573065573,2024-05-28 00:48:56,2024-05-20 09:15:00,,California,323,Other,Y
3239135794,2024-05-28 00:50:02,2024-05-21 17:12:00,,California,323,Other,Y
919741656172,2024-05-28 00:51:31,2024-05-28 09:15:00,,New Jersey,973,"Calls pretending to be government, businesses, or family and friends",Y
6508351303,2024-05-28 00:51:50,2024-05-05 12:14:00,,California,323,Other,Y
2392513479,2024-05-28 00:03:46,2024-05-17 10:29:00,Sarasota,Florida,941,Other,Y
8592676676,2024-05-28 00:03:16,2024-05-27 15:28:00,,Washington,206,No Subject Provided,N
8653551477,2024-05-28 00:01:08,2024-05-27 12:38:00,,Tennessee,865,Dropped call or no message,N
6266543446,2024-05-28 00:53:24,2024-05-08 15:49:00,,California,323,Other,Y
,2024-05-28 00:57:37,2024-05-27 00:00:00,Jacksonville,North Carolina,910,"Reducing your debt (credit cards, mortgage, student loans)",Y
4242522989,2024-05-28 00:57:58,2024-05-09 13:56:00,,California,323,Other,Y
,2024-05-28 01:00:39,2024-04-03 06:21:00,,,888,No Subject Provided,Y
5810751072,2024-05-28 01:01:20,2024-05-13 16:47:00,,California,323,Other,Y
6613448038,2024-05-28 01:02:45,2024-05-13 17:35:00,,California,323,Other,Y
4243165332,2024-05-28 01:03:56,2024-05-14 11:59:00,,California,323,Other,Y
3237505969,2024-05-28 01:04:56,2024-05-14 16:04:00,,California,323,Other,Y
6266045504,2024-05-28 01:07:37,2024-05-14 17:51:00,,California,323,Other,Y
3322616696,2024-05-28 01:09:13,2024-05-15 11:50:00,,California,323,Other,Y
2137940271,2024-05-28 01:10:15,2024-05-16 14:01:00,,California,323,Other,Y
2133177464,2024-05-28 01:16:07,2024-05-17 11:46:00,,California,323,Other,Y
2042051087,2024-05-28 01:31:34,2024-05-27 15:52:00,Dublin,Georgia,478,Other,N
6803569871,2024-05-28 01:32:25,2024-05-27 15:59:00,,Florida,561,Dropped call or no message,Y
9498444780,2024-05-28 01:34:35,2024-05-27 15:40:00,,Florida,561,Dropped call or no message,Y
4323569422,2024-05-28 01:39:38,2024-05-23 12:13:00,,California,310,Dropped call or no message,N
8553294495,2024-05-28 01:52:59,2024-05-28 01:45:00,Warwick,New York,646,"Calls pretending to be government, businesses, or family and friends",N
8605117980,2024-05-28 01:57:14,2024-05-27 06:33:00,Amaravati,Connecticut,860,Other,Y
3032250855,2024-05-28 02:10:48,2024-05-24 11:08:00,,Colorado,303,Vacation  & timeshares,Y
,2024-05-28 02:24:13,2024-04-15 13:15:00,Williamstown,New Jersey,856,"Energy, solar,  & utilities",Y
,2024-05-28 03:04:03,2024-05-27 16:02:00,,Texas,469,Other,Y
8289777859,2024-05-28 03:04:20,2024-05-27 09:48:00,,California,209,Other,Y
,2024-05-28 03:16:25,2024-05-24 01:10:00,,Virginia,703,Other,Y
2294794966,2024-05-28 03:18:19,2024-05-25 03:15:00,,Georgia,703,Other,Y
2296630200,2024-05-28 03:20:06,2024-05-25 17:12:00,,Virginia,703,Other,Y
4808633023,2024-05-28 03:22:31,2024-05-27 18:03:00,Clovis,California,559,Other,Y
2296630542,2024-05-28 03:23:10,2024-05-27 13:32:00,,Virginia,703,Other,Y
2542642014,2024-05-28 03:25:16,2024-05-27 18:45:00,,Virginia,703,Other,Y
3463620652,2024-05-28 03:27:33,2024-05-27 18:30:00,,Virginia,703,Other,Y
3466835337,2024-05-28 03:28:50,2024-05-27 19:05:00,,Virginia,703,Other,Y
3467879898,2024-05-28 03:30:04,2024-05-27 15:08:00,,Virginia,703,Other,Y
3468670598,2024-05-28 03:31:21,2024-05-27 19:07:00,,Virginia,703,Other,Y
4122741929,2024-05-28 03:32:30,2024-05-27 19:28:00,,Virginia,703,Other,Y
3862341971,2024-05-28 03:58:06,2023-01-01 12:00:00,Lake City,Florida,386,"Reducing your debt (credit cards, mortgage, student loans)",N
7166030534,2024-05-28 04:47:16,2024-05-27 19:21:00,,New Jersey,609,No Subject Provided,N
3525740245,2024-05-28 04:58:53,2024-05-27 16:58:00,NY,New York,718,Vacation  & timeshares,N
8144004718,2024-05-28 04:59:24,2024-05-27 11:55:00,NY,New York,718,Vacation  & timeshares,N
5169899584,2024-05-28 05:14:11,2024-05-27 13:04:00,westbury,New York,516,Other,Y
,2024-05-28 05:14:25,2024-04-05 04:28:00,,,866,No Subject Provided,Y
5169899584,2024-05-28 05:15:28,2024-05-24 17:39:00,westbury,New York,516,Other,Y
3479066120,2024-05-28 05:16:42,2024-05-23 11:45:00,westbury,New York,516,Other,Y
8558590047,2024-05-28 05:22:58,2024-05-05 04:04:00,,Colorado,719,No Subject Provided,Y
4134300312,2024-05-28 05:30:04,2024-05-27 16:58:00,Poquoson,Virginia,757,Other,Y
8065299180,2024-05-28 05:31:23,2024-05-27 15:59:00,Poquoson,Virginia,757,Other,Y
9412133142,2024-05-28 05:32:31,2024-05-27 14:02:00,Poquoson,Virginia,757,Other,Y
5854451218,2024-05-28 05:44:54,2024-05-27 20:53:00,Brewster,New York,845,Dropped call or no message,Y
5854451218,2024-05-28 05:47:39,2024-05-27 00:00:00,Brewster,New York,845,Dropped call or no message,Y
7738973134,2024-05-28 05:48:22,2024-05-27 19:43:00,Waukegan,Illinois,847,"Energy, solar,  & utilities",N
9102484214,2024-05-28 05:51:41,2024-01-12 09:47:00,,North Carolina,743,No Subject Provided,Y
3642100502,2024-05-28 05:52:27,2024-05-27 18:46:00,Lexington,Kentucky,859,Dropped call or no message,Y
9198235952,2024-05-28 05:55:00,2024-01-12 09:56:00,,North Carolina,743,No Subject Provided,Y
6783296584,2024-05-28 05:58:55,2024-01-12 10:00:00,,North Carolina,743,No Subject Provided,Y
8593540255,2024-05-28 05:59:40,2024-05-27 20:36:00,Lexington,Kentucky,859,Dropped call or no message,Y
9109203678,2024-05-28 06:02:41,2024-01-12 11:18:00,,North Carolina,743,No Subject Provided,Y
4194028847,2024-05-28 06:04:22,2024-05-27 16:55:00,findlay,Ohio,419,Other,N
9102484214,2024-05-28 06:06:10,2024-01-12 11:54:00,,North Carolina,743,No Subject Provided,Y
2533751297,2024-05-28 06:07:47,2024-05-26 12:01:00,Tacoma,Washington,425,Other,Y
3517770930,2024-05-28 06:09:43,2024-01-12 14:10:00,,North Carolina,743,No Subject Provided,Y
9102484214,2024-05-28 06:13:42,2024-01-12 16:17:00,,North Carolina,743,No Subject Provided,Y
,2024-05-28 06:16:44,2024-01-13 09:37:00,,North Carolina,743,No Subject Provided,Y
5752494350,2024-05-28 06:19:42,2024-01-13 09:37:00,,North Carolina,743,No Subject Provided,Y
9346411911,2024-05-28 06:20:28,2023-12-12 12:00:00,Parvathipuram,New York,934,"Calls pretending to be government, businesses, or family and friends",Y
9598882857,2024-05-28 06:22:12,2024-05-27 18:34:00,,Connecticut,860,Other,Y
7279479177,2024-05-28 06:23:42,2024-01-13 09:44:00,,North Carolina,743,No Subject Provided,Y
2253276713,2024-05-28 06:27:30,2024-01-13 10:00:00,,North Carolina,743,No Subject Provided,Y
8629041042,2024-05-28 06:30:52,2024-01-13 11:44:00,,North Carolina,743,No Subject Provided,Y
9083546105,2024-05-28 06:32:23,2024-05-25 11:32:00,Roseland,New Jersey,973,Other,Y
4063121053,2024-05-28 06:35:11,2024-01-13 13:09:00,,North Carolina,743,No Subject Provided,Y
2819094127,2024-05-28 06:39:00,2024-01-13 14:12:00,,North Carolina,743,No Subject Provided,Y
2407492560,2024-05-28 06:48:29,2024-05-28 00:00:00,,Maryland,443,Other,N
2408226438,2024-05-28 06:49:12,2024-05-27 00:00:00,,Maryland,443,Other,N
2408226438,2024-05-28 06:50:09,2024-05-27 00:00:00,,Maryland,443,No Subject Provided,Y
2185522456,2024-05-28 06:50:27,2024-05-08 14:10:00,,Texas,832,Work from home  & other ways to make money,Y
7865302474,2024-05-28 06:51:39,2024-05-28 02:10:00,Opalocka,Florida,786,No Subject Provided,N
2407492560,2024-05-28 06:53:36,2024-05-28 00:00:00,,Maryland,443,Other,N
5713331935,2024-05-28 06:56:08,2024-05-27 09:46:00,Hialeah,Florida,571,Charities,N
6805000251,2024-05-28 06:58:19,2024-05-27 15:20:00,Fredericksburg,Virginia,540,"Reducing your debt (credit cards, mortgage, student loans)",N
5866006157,2024-05-28 07:00:55,2024-05-27 16:57:00,,Michigan,248,Other,N
4405163290,2024-05-28 07:12:35,2024-05-24 00:00:00,Columbus,Ohio,614,Dropped call or no message,N
9788325180,2024-05-28 07:12:39,2024-05-27 15:01:00,Pepperell,Massachusetts,978,Other,Y
9785600788,2024-05-28 07:13:26,2024-05-27 14:17:00,Pepperell,Massachusetts,978,Other,Y
5103646765,2024-05-28 07:14:23,2024-05-25 12:35:00,,North Carolina,704,Dropped call or no message,Y
9788603835,2024-05-28 07:14:35,2024-05-27 13:15:00,Pepperell,Massachusetts,978,Other,Y
9783842326,2024-05-28 07:15:35,2024-05-27 11:34:00,Pepperell,Massachusetts,978,Other,Y
6282522162,2024-05-28 07:16:20,2024-05-27 10:23:00,Pepperell,Massachusetts,978,Other,Y
3213923232,2024-05-28 07:16:35,2024-05-25 19:12:00,,North Carolina,704,Dropped call or no message,Y
4693626506,2024-05-28 07:17:23,2024-05-26 15:09:00,,North Carolina,704,Dropped call or no message,Y
3023628828,2024-05-28 07:18:00,2024-05-27 14:15:00,,North Carolina,704,Dropped call or no message,Y
9782587293,2024-05-28 07:18:04,2024-05-21 14:40:00,Pepperell,Massachusetts,978,Other,Y
7048918197,2024-05-28 07:18:42,2024-05-27 15:18:00,,North Carolina,704,Dropped call or no message,Y
9782588273,2024-05-28 07:18:52,2024-05-21 17:55:00,Pepperell,Massachusetts,978,Other,Y
7048919730,2024-05-28 07:19:16,2024-05-27 15:48:00,,North Carolina,704,Dropped call or no message,Y
8024559681,2024-05-28 07:19:44,2024-05-22 11:33:00,Pepperell,Massachusetts,978,Other,Y
9784845323,2024-05-28 07:20:38,2024-05-22 12:52:00,Pepperell,Massachusetts,978,Other,Y
3512138265,2024-05-28 07:22:23,2024-05-23 19:02:00,Pepperell,Massachusetts,978,Other,Y
3512138265,2024-05-28 07:23:32,2024-05-23 12:18:00,Pepperell,Massachusetts,978,Other,Y
8287867668,2024-05-28 07:24:34,2024-05-23 11:43:00,Pepperell,Massachusetts,978,Other,Y
9784564941,2024-05-28 07:25:20,2024-05-22 13:26:00,Pepperell,Massachusetts,978,Other,Y
7743048689,2024-05-28 07:26:08,2024-05-24 20:54:00,Pepperell,Massachusetts,978,Other,Y
9783628148,2024-05-28 07:27:39,2024-05-20 15:32:00,Pepperell,Massachusetts,978,Other,Y
7742959540,2024-05-28 07:29:04,2024-05-20 15:24:00,Pepperell,Massachusetts,978,Other,Y
2282990059,2024-05-28 07:30:06,2024-05-20 15:21:00,Pepperell,Massachusetts,978,Other,Y
