Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8502843087,2023-12-28 00:13:49,2023-12-23 10:23:00,Concord,North Carolina,803,Other,Y
4059576364,2023-12-28 00:16:05,2023-12-27 13:31:00,Chickasha,Oklahoma,405,Dropped call or no message,N
2138049943,2023-12-28 00:17:40,2023-12-23 10:23:00,Concord,North Carolina,803,Other,Y
5593831158,2023-12-28 00:21:46,2023-12-27 14:44:00,Clovis,California,559,Other,Y
2534493915,2023-12-28 00:22:04,2023-12-27 11:06:00,Phoenix,Arizona,623,Dropped call or no message,Y
7324026239,2023-12-28 00:23:37,2023-12-27 18:14:00,,New Jersey,609,No Subject Provided,N
9287353796,2023-12-28 00:23:17,2023-12-27 10:41:00,Phoenix,Arizona,623,Dropped call or no message,Y
5512422416,2023-12-28 00:25:00,2023-12-27 16:51:00,,New Jersey,609,No Subject Provided,N
9088937443,2023-12-28 00:27:00,2023-12-27 09:25:00,,New Jersey,609,No Subject Provided,N
5043871918,2023-12-28 00:27:53,2023-12-27 12:26:00,Phoenix,Arizona,602,Work from home  & other ways to make money,Y
3043815486,2023-12-28 00:27:56,2023-12-28 12:00:00,Clarksburg,West Virginia,304,Other,N
6098906582,2023-12-28 00:28:19,2023-12-27 09:35:00,,New Jersey,609,No Subject Provided,N
4807162556,2023-12-28 00:29:13,2023-12-27 13:45:00,Phoenix,Arizona,602,Work from home  & other ways to make money,Y
7322349948,2023-12-28 00:30:07,2023-12-27 08:41:00,,New Jersey,609,No Subject Provided,N
5863522665,2023-12-28 00:34:32,2023-12-27 13:23:00,"Sterling Heights,",Michigan,586,Other,N
3466463371,2023-12-28 00:35:27,2023-12-27 15:00:00,,Texas,817,Other,N
,2023-12-28 00:35:36,2023-12-27 12:00:00,Waterloo,Illinois,618,"Calls pretending to be government, businesses, or family and friends",N
6465126465,2023-12-28 00:42:11,2023-12-27 17:59:00,,Florida,646,"Calls pretending to be government, businesses, or family and friends",N
5037621883,2023-12-28 00:42:14,2023-12-27 16:21:00,Beaverton,Oregon,503,"Reducing your debt (credit cards, mortgage, student loans)",Y
5165847617,2023-12-28 00:42:51,2023-12-07 12:00:00,Laurelton,New York,646,"Lotteries, prizes  & sweepstakes",N
5034021271,2023-12-28 00:44:36,2023-12-27 15:37:00,Beaverton,Oregon,503,"Reducing your debt (credit cards, mortgage, student loans)",Y
7075406849,2023-12-28 00:44:50,2023-12-27 16:34:00,,California,707,"Calls pretending to be government, businesses, or family and friends",Y
5626693858,2023-12-28 00:45:54,2023-12-27 11:08:00,,California,707,"Calls pretending to be government, businesses, or family and friends",Y
7074477407,2023-12-28 00:47:27,2023-12-27 06:53:00,,California,707,"Calls pretending to be government, businesses, or family and friends",Y
8003066062,2023-12-28 00:48:16,2023-12-19 18:47:00,Charlotte,North Carolina,704,Other,N
9496527460,2023-12-28 00:48:51,2023-12-27 06:03:00,,California,707,"Calls pretending to be government, businesses, or family and friends",Y
8164532770,2023-12-28 00:48:56,2023-12-27 20:03:00,Harriman,Tennessee,865,Other,Y
6292043172,2023-12-28 00:50:26,2023-12-27 17:24:00,Harriman,Tennessee,865,Home security  & alarms,Y
,2023-12-28 01:00:40,2023-12-20 12:00:00,Point Pleasant Beach,New Jersey,215,Charities,N
3312173463,2023-12-28 01:16:29,2023-12-27 14:12:00,,Illinois,630,No Subject Provided,
7733521172,2023-12-28 01:27:59,2023-12-21 08:12:00,Chicago,Illinois,312,"Reducing your debt (credit cards, mortgage, student loans)",N
9072256494,2023-12-28 01:33:24,2023-12-28 08:55:00,Bangalore,North Carolina,919,Other,Y
3472464960,2023-12-28 01:34:40,2023-12-28 12:00:00,Hempstead,New York,347,Other,Y
8552651384,2023-12-28 01:40:52,2023-12-27 18:55:00,NEW CANAAN,Connecticut,650,Dropped call or no message,Y
8442568101,2023-12-28 01:42:28,2023-12-27 12:11:00,NEW CANAAN,Connecticut,650,Dropped call or no message,Y
7738600309,2023-12-28 01:44:44,2023-12-28 00:09:00,Wheaton,Illinois,321,Dropped call or no message,Y
9309830191,2023-12-28 01:49:38,2023-12-28 11:45:00,,Washington,206,Dropped call or no message,Y
2099604608,2023-12-28 01:56:19,2023-12-27 10:27:00,STOCKTON,California,209,Dropped call or no message,Y
7316124920,2023-12-28 01:56:44,2023-12-28 12:16:00,,Alabama,938,"Lotteries, prizes  & sweepstakes",Y
4232740286,2023-12-28 02:02:14,2023-12-27 10:09:00,,Tennessee,423,No Subject Provided,
4232394612,2023-12-28 02:06:08,2023-12-27 00:00:00,,Tennessee,423,No Subject Provided,
