Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
7869440663,2024-12-04 00:02:57,2024-12-03 16:25:00,,Florida,786,Other,Y
7869440663,2024-12-04 00:04:18,2024-12-03 13:25:00,,Florida,786,No Subject Provided,Y
7869440635,2024-12-04 00:05:15,2024-12-02 05:30:00,,Florida,786,No Subject Provided,Y
,2024-12-04 00:05:29,2024-11-25 12:58:00,,Colorado,303,Other,Y
7865506756,2024-12-04 00:06:01,2024-12-02 14:16:00,,Florida,786,No Subject Provided,Y
8188127430,2024-12-04 00:06:09,2024-12-03 17:49:00,Tarzana,California,818,Medical  & prescriptions,Y
7869440637,2024-12-04 00:06:52,2024-12-02 10:35:00,,Florida,786,No Subject Provided,Y
7866685915,2024-12-04 00:08:13,2024-11-26 18:02:00,,Florida,786,No Subject Provided,
7866010804,2024-12-04 00:10:07,2024-11-26 09:35:00,,Florida,786,No Subject Provided,Y
4406584574,2024-12-04 00:10:20,2024-12-04 11:47:00,,Ohio,330,Other,Y
7865674862,2024-12-04 00:11:21,2024-11-25 10:11:00,,Florida,786,No Subject Provided,Y
8889254133,2024-12-04 00:12:30,2024-12-03 12:00:00,Philadelphia,Pennsylvania,215,"Lotteries, prizes  & sweepstakes",Y
6893358946,2024-12-04 00:12:32,2024-12-03 09:18:00,Benson,North Carolina,689,Other,Y
7865506756,2024-12-04 00:12:40,2024-11-24 14:00:00,,Florida,786,No Subject Provided,Y
5153286152,2024-12-04 00:12:43,2024-12-03 18:14:00,,Iowa,515,Dropped call or no message,Y
7865895764,2024-12-04 00:13:52,2024-11-18 09:37:00,,Florida,786,No Subject Provided,Y
7149083509,2024-12-04 00:13:56,2024-12-02 12:01:00,Garden Grove,California,714,Other,Y
2192750697,2024-12-04 00:15:18,2024-12-03 17:56:00,,Indiana,219,Other,
7712080676,2024-12-04 00:15:21,2024-12-03 20:31:00,Buxton,Maine,207,Other,N
7866678930,2024-12-04 00:15:22,2024-11-18 12:18:00,,Florida,786,No Subject Provided,Y
6413222445,2024-12-04 00:15:37,2024-12-03 14:42:00,Garden Grove,California,714,Other,Y
7866010520,2024-12-04 00:16:32,2024-11-14 15:48:00,,Florida,786,No Subject Provided,
2027956216,2024-12-04 00:20:37,2024-12-02 14:08:00,Washington DC,District of Columbia,202,Other,N
9165437762,2024-12-04 00:26:14,2024-12-03 18:59:00,,California,916,No Subject Provided,N
6153340284,2024-12-04 00:28:02,2024-12-03 21:42:00,WAVERLY,Tennessee,615,Medical  & prescriptions,N
7172909470,2024-12-04 00:30:38,2024-12-03 17:59:00,,California,415,No Subject Provided,N
4172909494,2024-12-04 00:31:45,2024-12-03 17:18:00,,Missouri,417,"Reducing your debt (credit cards, mortgage, student loans)",Y
5105923213,2024-12-04 00:33:19,2024-12-03 18:53:00,Pinole,California,510,Other,Y
9109833120,2024-12-04 00:34:10,2024-11-22 00:00:00,,New York,212,No Subject Provided,N
9109823120,2024-12-04 00:36:37,2024-11-24 00:00:00,,New York,212,No Subject Provided,N
5129483539,2024-12-04 00:36:19,2024-11-20 07:00:00,Round Rock,Texas,512,Dropped call or no message,Y
8882263240,2024-12-04 00:38:46,2024-12-03 20:35:00,Los Angeles,California,818,Other,Y
3147569705,2024-12-04 00:40:00,2024-12-01 10:34:00,,Missouri,314,No Subject Provided,N
5513801790,2024-12-04 00:01:58,2024-12-03 17:03:00,Morristown,New Jersey,973,Dropped call or no message,Y
7869440486,2024-12-04 00:01:36,2024-12-03 00:00:00,,Florida,786,Other,Y
8623563003,2024-12-04 00:00:44,2024-12-02 17:36:00,Morristown,New Jersey,973,Dropped call or no message,Y
5615761869,2024-12-04 00:40:00,2024-12-03 13:11:00,West Palm Beach,Florida,561,Other,Y
3146895041,2024-12-04 00:41:21,2024-12-02 09:01:00,,Missouri,314,No Subject Provided,N
5619288442,2024-12-04 00:40:57,2024-12-03 13:36:00,West Palm Beach,Florida,561,Other,Y
9402231180,2024-12-04 00:41:05,2024-12-03 13:06:00,,California,562,"Reducing your debt (credit cards, mortgage, student loans)",N
6186230672,2024-12-04 00:42:44,2024-12-02 15:32:00,,Missouri,314,No Subject Provided,N
6125091673,2024-12-04 00:42:22,2024-12-02 00:00:00,,Pennsylvania,570,Other,Y
7252994420,2024-12-04 00:44:09,2024-12-03 08:36:00,,Missouri,314,No Subject Provided,N
5128642185,2024-12-04 00:44:39,2024-11-03 07:00:00,Round Rock,Texas,512,Other,Y
5732662394,2024-12-04 00:45:40,2024-12-03 09:33:00,,Missouri,314,No Subject Provided,N
6464750061,2024-12-04 00:46:57,2024-11-24 00:00:00,,New York,212,No Subject Provided,N
3146265095,2024-12-04 00:47:00,2024-12-03 10:16:00,,Missouri,314,No Subject Provided,N
6789021399,2024-12-04 00:51:13,2024-11-24 00:00:00,,New York,212,No Subject Provided,N
5302809316,2024-12-04 00:49:45,2024-12-03 18:37:00,santa rosa,California,707,"Reducing your debt (credit cards, mortgage, student loans)",Y
6314078236,2024-12-04 00:51:01,2024-11-21 06:00:00,Round Rock,Texas,512,Other,Y
5859024137,2024-12-04 00:53:40,2024-11-27 00:00:00,,New York,212,No Subject Provided,N
4755751083,2024-12-04 00:54:23,2024-12-03 17:00:00,Washington,District of Columbia,202,"Calls pretending to be government, businesses, or family and friends",Y
9176959281,2024-12-04 00:56:01,2024-11-30 00:00:00,,New York,212,No Subject Provided,N
3127418815,2024-12-04 00:56:32,2024-11-27 11:46:00,Chicago,Illinois,312,Other,N
