Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4439036837,2024-01-31 00:04:14,2024-01-30 17:56:00,SEVERNA PARK,Maryland,410,Home improvement  & cleaning,Y
8626849580,2024-01-31 00:04:15,2024-01-30 11:04:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
9372009408,2024-01-31 00:05:09,2024-01-30 13:22:00,Columbus,Ohio,614,Other,N
3802398071,2024-01-31 00:05:09,2024-01-30 12:10:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
3053175902,2024-01-31 00:05:32,2024-01-30 12:20:00,MIAMI,Florida,305,Other,
3802092378,2024-01-31 00:06:03,2024-01-30 12:36:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
7406690229,2024-01-31 00:07:01,2024-01-30 13:15:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
8023214909,2024-01-31 00:07:54,2024-01-30 15:11:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
6784704409,2024-01-31 00:08:42,2024-01-29 09:21:00,,Georgia,770,Other,
6142103661,2024-01-31 00:09:15,2024-01-30 15:13:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
7607952540,2024-01-31 00:09:42,2024-01-30 13:15:00,Carlsbad,California,760,No Subject Provided,
8552069566,2024-01-31 00:09:44,2024-01-20 12:00:00,Farmington Hills,Michigan,313,"Calls pretending to be government, businesses, or family and friends",N
4085219856,2024-01-31 00:09:53,2024-01-28 11:26:00,Hayward,California,510,No Subject Provided,
5673811268,2024-01-31 00:10:31,2024-01-30 15:31:00,san pedro,California,740,"Calls pretending to be government, businesses, or family and friends",Y
5104279979,2024-01-31 00:10:41,2024-01-28 10:58:00,Hayward,California,510,No Subject Provided,
8583137327,2024-01-31 00:11:24,2024-01-30 15:35:00,Carlsbad,California,760,No Subject Provided,
8583137294,2024-01-31 00:12:17,2024-01-29 17:32:00,Carlsbad,California,760,No Subject Provided,
5105524197,2024-01-31 00:12:19,2024-01-28 11:06:00,Hayward,California,510,No Subject Provided,
8882215829,2024-01-31 00:12:29,2024-01-30 14:43:00,,Michigan,517,No Subject Provided,Y
5105524197,2024-01-31 00:13:21,2024-01-28 11:48:00,Hayward,California,510,No Subject Provided,
8146998710,2024-01-31 00:13:51,2024-01-30 19:19:00,Manassas,Virginia,814,Other,Y
5105815967,2024-01-31 00:14:21,2024-01-29 07:29:00,Hayward,California,510,No Subject Provided,
8884068024,2024-01-31 00:14:54,2024-01-31 00:00:00,,Minnesota,218,"Reducing your debt (credit cards, mortgage, student loans)",Y
8302937112,2024-01-31 00:15:43,2024-01-30 18:54:00,Stanton,Texas,432,Home improvement  & cleaning,N
5103976321,2024-01-31 00:16:13,2024-01-29 11:29:00,Hayward,California,510,No Subject Provided,
3608598025,2024-01-31 00:16:39,2024-01-30 08:05:00,Enumclaw,Washington,360,Other,N
8563501686,2024-01-31 00:17:35,2024-01-30 06:22:00,Hayward,California,510,No Subject Provided,
15317187,2024-01-31 00:18:55,2024-01-30 09:00:00,Enumclaw,Washington,360,Other,Y
6502401353,2024-01-31 00:19:33,2024-01-30 12:02:00,Hayward,California,510,No Subject Provided,
6282849979,2024-01-31 00:20:30,2024-01-30 13:59:00,Hayward,California,510,No Subject Provided,
6692971649,2024-01-31 00:20:40,2024-01-30 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
5036947493,2024-01-31 00:21:42,2024-01-30 15:21:00,Hayward,California,510,No Subject Provided,
4252189240,2024-01-31 00:21:51,2024-01-30 09:15:00,Enumclaw,Washington,360,Other,Y
