Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8479472256,2024-09-13 00:53:24,2024-09-12 11:19:00,,Illinois,847,Other,Y
5517587953,2024-09-13 00:54:28,2024-09-12 00:00:00,East Hazel Crest,Illinois,702,Work from home  & other ways to make money,N
8475924103,2024-09-13 00:56:39,2024-09-03 11:16:00,,Illinois,847,Other,Y
7473008495,2024-09-13 00:56:52,2024-09-12 09:57:00,Huntington Beach,California,714,Other,
9099938904,2024-09-13 00:58:32,2024-09-11 11:22:00,Huntington Beach,California,714,Other,
6062216522,2024-09-13 00:23:22,2024-09-09 09:27:00,Elkhorn City,Kentucky,606,Other,N
8083740005,2024-09-13 01:11:55,2024-09-12 17:14:00,,Hawaii,808,"Reducing your debt (credit cards, mortgage, student loans)",N
6025764880,2024-09-13 01:20:43,2024-09-12 13:58:00,Phoenix,Arizona,623,Dropped call or no message,Y
3467129938,2024-09-13 01:22:00,2024-09-12 12:00:00,Phoenix,Arizona,623,Dropped call or no message,Y
4809082891,2024-09-13 01:23:08,2024-09-12 08:37:00,Phoenix,Arizona,623,Dropped call or no message,Y
7312199137,2024-09-13 01:26:21,2024-09-12 12:47:00,Burlison,Tennessee,901,Dropped call or no message,Y
8666590805,2024-09-13 01:27:45,2024-09-12 08:54:00,Timnath,California,949,"Reducing your debt (credit cards, mortgage, student loans)",Y
8779411150,2024-09-13 01:32:14,2024-09-03 11:07:00,Timnath,California,949,"Reducing your debt (credit cards, mortgage, student loans)",Y
3518000023,2024-09-13 00:21:18,2024-09-02 16:10:00,West Roxbury,Massachusetts,617,"Reducing your debt (credit cards, mortgage, student loans)",Y
6062216604,2024-09-13 00:20:54,2024-09-09 10:32:00,Elkhorn City,Kentucky,606,Other,N
4012662999,2024-09-13 00:20:45,2024-09-03 12:02:00,West Roxbury,Massachusetts,617,"Reducing your debt (credit cards, mortgage, student loans)",Y
3862104112,2024-09-13 00:20:25,2024-09-12 20:00:00,Oak hill,Florida,904,Medical  & prescriptions,Y
8572535308,2024-09-13 00:20:10,2024-09-03 18:13:00,West Roxbury,Massachusetts,617,"Reducing your debt (credit cards, mortgage, student loans)",Y
6176226812,2024-09-13 00:19:24,2024-09-04 11:49:00,West Roxbury,Massachusetts,617,"Reducing your debt (credit cards, mortgage, student loans)",Y
6062035880,2024-09-13 00:18:41,2024-09-09 13:02:00,Elkhorn City,Kentucky,606,Other,N
8044741972,2024-09-13 00:13:51,2024-09-11 16:14:00,Caret,Virginia,804,Dropped call or no message,Y
4255046005,2024-09-13 00:13:38,2024-09-12 13:57:00,,Washington,425,Other,N
8723092333,2024-09-13 00:13:04,2024-09-12 16:53:00,,Illinois,773,No Subject Provided,
6062216047,2024-09-13 00:12:56,2024-09-09 13:16:00,Elkhorn City,Kentucky,606,Other,N
4842609637,2024-09-13 00:12:22,2024-09-05 14:26:00,North Logan,Utah,435,"Reducing your debt (credit cards, mortgage, student loans)",Y
3312718040,2024-09-13 00:11:55,2024-09-12 14:36:00,Glendale,Arizona,602,Dropped call or no message,N
3732904856,2024-09-13 00:10:33,2024-09-12 14:54:00,Glendale,Arizona,602,Dropped call or no message,N
6503822879,2024-09-13 00:10:19,2024-09-12 12:00:00,Greenwood,Indiana,678,Other,N
6062945146,2024-09-13 00:10:01,2024-09-09 14:33:00,Elkhorn City,Kentucky,606,Other,N
8045236905,2024-09-13 00:09:05,2024-09-12 18:12:00,Caret,Virginia,804,Other,Y
8328389268,2024-09-13 00:27:18,2024-09-12 15:20:00,,Texas,281,"Calls pretending to be government, businesses, or family and friends",Y
2817858348,2024-09-13 00:31:29,2024-09-12 00:00:00,Houston,Texas,281,"Calls pretending to be government, businesses, or family and friends",Y
7712248582,2024-09-13 00:28:08,2024-09-12 20:27:00,,Texas,281,"Calls pretending to be government, businesses, or family and friends",Y
8444518682,2024-09-13 00:47:31,2024-09-12 10:51:00,,Arizona,480,"Calls pretending to be government, businesses, or family and friends",Y
7579001418,2024-09-13 00:40:17,2024-09-12 16:15:00,Newport News,Virginia,757,"Reducing your debt (credit cards, mortgage, student loans)",Y
8663179685,2024-09-13 00:25:43,2024-09-11 08:03:00,Dallas,Texas,214,"Calls pretending to be government, businesses, or family and friends",Y
5123994324,2024-09-13 00:08:38,2024-09-12 00:00:00,,Texas,210,No Subject Provided,Y
7032393324,2024-09-13 00:32:29,2024-09-12 09:19:00,,California,408,Warranties  & protection plans,Y
8138968349,2024-09-13 00:36:44,2024-09-12 11:49:00,Kenansville,North Carolina,910,Other,Y
2535016149,2024-09-13 01:09:52,2024-09-12 06:40:00,Tacoma,Washington,253,"Energy, solar,  & utilities",N
7717725328,2024-09-13 00:07:01,2024-09-12 00:00:00,,Texas,210,No Subject Provided,Y
2073051379,2024-09-13 00:04:30,2024-08-26 15:53:00,Scottsdale,Arizona,858,"Reducing your debt (credit cards, mortgage, student loans)",Y
4023566760,2024-09-13 00:03:32,2024-09-12 13:28:00,,Nebraska,402,No Subject Provided,
919288939812,2024-09-13 02:10:05,2024-09-13 11:35:00,,Arizona,928,Dropped call or no message,Y
07124712859,2024-09-13 02:17:01,2024-09-12 11:40:00,,North Carolina,984,Work from home  & other ways to make money,Y
8062980614,2024-09-13 02:36:19,2024-09-13 02:36:19,,Arizona,480,No Subject Provided,N
2348040759,2024-09-13 03:07:52,2024-09-12 08:05:00,Akron,Ohio,234,Medical  & prescriptions,Y
4234051873,2024-09-13 03:09:09,2024-09-12 15:15:00,cleveland,Tennessee,423,Dropped call or no message,Y
8184125907,2024-09-13 03:14:23,2024-09-12 19:32:00,,California,213,Other,N
8184125907,2024-09-13 03:15:57,2024-09-12 19:32:00,,California,213,Other,N
8642659273,2024-09-13 03:19:08,2024-09-12 09:09:00,,South Carolina,864,Other,Y
3865325041,2024-09-13 03:21:26,2024-09-02 14:04:00,,Virginia,386,"Calls pretending to be government, businesses, or family and friends",Y
7248883261,2024-09-13 03:26:23,2024-09-12 06:57:00,Sacramento,California,916,Other,N
6198240176,2024-09-13 01:32:43,2024-09-12 18:14:00,,California,619,Other,Y
9182359870,2024-09-13 01:35:29,2024-09-12 18:54:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
3412008066,2024-09-13 01:36:10,2024-09-12 15:58:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
5807324520,2024-09-13 01:36:53,2024-09-12 13:27:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4055096816,2024-09-13 01:37:34,2024-09-12 12:53:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4058056888,2024-09-13 01:38:14,2024-09-12 12:12:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
9182890946,2024-09-13 01:39:12,2024-09-12 10:27:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4058785151,2024-09-13 01:39:47,2024-09-12 10:13:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4054707913,2024-09-13 01:40:38,2024-09-12 10:06:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4055294674,2024-09-13 01:41:28,2024-09-12 09:37:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
7633330405,2024-09-13 01:44:24,2024-09-11 09:12:00,,Minnesota,763,Dropped call or no message,Y
